Frequency,Channel A,Channel B
(ms),(mV),(mV)

-41.63289136,-106.00600000,-25.44633000
-41.61241136,-104.29700000,-25.21744000
-41.59193136,-103.15260000,-24.98855000
-41.57145136,-100.87890000,-24.64980000
-41.55097136,-99.73449000,-24.19202000
-41.53049136,-98.59004000,-23.96618000
-41.51001136,-96.89626000,-23.85327000
-41.48953136,-95.75182000,-23.96618000
-41.46905136,-94.60738000,-23.28257000
-41.44857136,-94.04278000,-23.28257000
-41.42809136,-92.89834000,-22.82784000
-41.40761136,-92.33374000,-22.14728000
-41.38713136,-90.62471000,-22.48604000
-41.36665136,-89.49553000,-22.03131000
-41.34617136,-88.35108000,-21.46367000
-41.32569136,-87.22189000,-21.23478000
-41.30521136,-86.07745000,-21.00894000
-41.28473136,-84.36842000,-20.66714000
-41.26425136,-82.65938000,-20.78005000
-41.24377136,-81.53020000,-20.66714000
-41.22329136,-80.38575000,-20.43825000
-41.20281136,-79.24131000,-20.43825000
-41.18233136,-78.11212000,-20.21241000
-41.16185136,-76.96767000,-19.98352000
-41.14137136,-75.82323000,-20.09644000
-41.12089136,-74.69405000,-19.52879000
-41.10041136,-72.98501000,-18.96115000
-41.07993136,-71.84057000,-19.07407000
-41.05945136,-70.13153000,-18.39045000
-41.03897136,-68.42249000,-18.39045000
-41.01849136,-67.29331000,-18.39045000
-40.99801136,-65.58427000,-18.27753000
-40.97753136,-63.87524000,-17.93573000
-40.95705136,-62.73079000,-17.93573000
-40.93657136,-61.60161000,-17.70989000
-40.91609136,-59.89257000,-17.48100000
-40.89561136,-58.74813000,-17.48100000
-40.87513136,-57.03909000,-16.91031000
-40.85465136,-55.34531000,-16.68447000
-40.83417136,-54.20087000,-16.00085000
-40.81369136,-52.49183000,-15.77502000
-40.79321136,-50.78279000,-15.88794000
-40.77273136,-50.21820000,-15.65905000
-40.75225137,-49.07376000,-15.43321000
-40.73177137,-47.94458000,-15.20432000
-40.71129137,-47.36472000,-14.86557000
-40.69081137,-46.80013000,-14.52376000
-40.67033137,-45.65569000,-14.63668000
-40.64985137,-45.09109000,-14.18195000
-40.62937137,-43.94665000,-13.38542000
-40.60889137,-42.25287000,-13.15653000
-40.58841137,-41.10843000,-12.58889000
-40.56793137,-39.39939000,-12.13416000
-40.54745137,-38.25495000,-12.24708000
-40.52697137,-35.98132000,-12.36000000
-40.50649137,-34.27229000,-12.13416000
-40.48601137,-32.56325000,-12.13416000
-40.46553137,-31.43406000,-11.90527000
-40.44505137,-30.28962000,-11.56346000
-40.42457137,-29.14518000,-11.33763000
-40.40409137,-28.58058000,-10.65401000
-40.38361137,-26.87155000,-10.31220000
-40.36313137,-25.74236000,-9.63164100
-40.34265137,-24.59792000,-9.63164100
-40.32217137,-23.45347000,-9.40275200
-40.30169137,-23.45347000,-9.74455900
-40.28121137,-22.32429000,-9.40275200
-40.26073137,-20.61525000,-9.28983400
-40.24025137,-18.90622000,-9.62859000
-40.21977137,-17.19718000,-9.06094500
-40.19929137,-16.05273000,-8.83205600
-40.17881137,-14.35896000,-7.92260500
-40.15833137,-13.21451000,-7.24204200
-40.13785137,-10.94089000,-6.44550900
-40.11737137,-9.23184900,-6.32953800
-40.09689137,-8.08740400,-5.87481300
-40.07641137,-6.37836800,-5.76189500
-40.05593137,-5.24918300,-5.53300600
-40.03545137,-4.10473900,-5.19425000
-40.01497137,-3.54014700,-4.85244300
-39.99449137,-2.39570300,-4.51063600
-39.97401137,-0.68666640,-4.96536200
-39.95353137,1.00711100,-4.62355400
-39.93305137,2.15155500,-4.62355400
-39.91257137,3.28074000,-4.05591000
-39.89209137,4.42518400,-3.93993900
-39.87161137,5.56962800,-3.93993900
-39.85113137,6.69881200,-3.93993900
-39.83065137,7.84325600,-3.93993900
-39.81017137,8.97244200,-3.25937700
-39.78969137,10.11689000,-2.68868100
-39.76921137,11.82592000,-2.00811800
-39.74873137,12.95511000,-1.89214700
-39.72825137,14.66414000,-1.89214700
-39.70777137,16.37318000,-2.34687300
-39.68729137,18.08221000,-2.23395500
-39.66681137,19.77599000,-1.89214700
-39.64633137,20.92044000,-1.55034000
-39.62585137,21.48503000,-1.55034000
-39.60537137,22.62947000,-1.21158500
-39.58489137,23.75866000,-0.98269600
-39.56441137,24.32325000,-0.52797020
-39.54393137,26.03229000,0.83315530
-39.52345137,26.59688000,1.17496300
-39.50297137,27.74132000,1.40385100
-39.48249137,28.88577000,2.08441400
-39.46201137,30.59480000,1.97149600
-39.44153137,31.72399000,1.97149600
-39.42105137,32.86843000,2.20038400
-39.40057137,33.99762000,2.65511000
-39.38009137,33.99762000,2.88094700
-39.35961137,35.70666000,3.22275400
-39.33913137,36.85110000,3.22275400
-39.31865137,38.56013000,3.22275400
-39.29817137,39.70458000,3.79039900
-39.27769137,40.83376000,3.90331700
-39.25721137,41.97821000,4.58693200
-39.23673137,43.10739000,5.04165700
-39.21625137,44.81643000,5.15457600
-39.19577137,45.96087000,5.95110900
