Time,Channel A,Channel B
(ms),(V),(V)

4.78828136,4.20819700,-4.82070400
4.80876136,4.20819700,-4.82070400
4.82924136,4.25336500,-4.82070400
4.84972136,4.25336500,-4.82070400
4.87020136,4.20819700,-4.82070400
4.89068136,4.25336500,-4.73036900
4.91116136,4.25336500,-4.64003400
4.93164136,4.25336500,-4.64003400
4.95212136,4.25336500,-4.64003400
4.97260136,4.25336500,-4.45967000
4.99308136,4.25336500,-4.45967000
5.01356136,4.25336500,-4.45967000
5.03404136,4.25336500,-4.45967000
5.05452136,4.25336500,-4.36933500
5.07500136,4.25336500,-4.36933500
5.09548136,4.25336500,-4.27930500
5.11596136,4.25336500,-4.27930500
5.13644136,4.25336500,-4.18897100
5.15692136,4.25336500,-4.09894100
5.17740136,4.25336500,-4.09894100
5.19788136,4.25336500,-4.00860600
5.21836136,4.25336500,-4.00860600
5.23884136,4.25336500,-3.91827200
5.25932136,4.25336500,-3.82824200
5.27980136,4.25336500,-3.73790700
5.30028136,4.25336500,-3.73790700
5.32076136,4.25336500,-3.64757200
5.34124136,4.25336500,-3.55754300
5.36172136,4.25336500,-3.55754300
5.38220136,4.25336500,-3.46720800
5.40268136,4.25336500,-3.46720800
5.42316136,4.25336500,-3.37717800
5.44364136,4.25336500,-3.37717800
5.46412136,4.25336500,-3.28684400
5.48460136,4.25336500,-3.19650900
5.50508136,4.20819700,-3.19650900
5.52556136,4.20819700,-3.10647900
5.54604136,4.20819700,-3.10647900
5.56652135,4.20819700,-3.01614400
5.58700135,4.20819700,-3.01614400
5.60748135,4.20819700,-3.01614400
5.62796135,4.20819700,-2.92581000
5.64844135,4.16287700,-2.83578000
5.66892135,4.16287700,-2.83578000
5.68940135,4.16287700,-2.74544500
5.70988135,4.16287700,-2.74544500
5.73036135,4.16287700,-2.65541600
5.75084135,4.16287700,-2.65541600
5.77132135,4.16287700,-2.65541600
5.79180135,4.11755800,-2.56508100
5.81228135,4.11755800,-2.56508100
5.83276135,4.11755800,-2.47474600
5.85324135,4.11755800,-2.47474600
5.87372135,4.07239000,-2.38471600
5.89420135,4.07239000,-2.38471600
5.91468135,4.07239000,-2.38471600
5.93516135,4.07239000,-2.29438200
5.95564135,4.07239000,-2.29438200
5.97612135,4.07239000,-2.29438200
5.99660135,4.07239000,-2.20404700
6.01708135,4.02707000,-2.29438200
6.03756135,4.02707000,-2.20404700
6.05804135,4.02707000,-2.11401700
6.07852135,4.02707000,-2.11401700
6.09900135,3.98190300,-2.11401700
6.11948135,3.98190300,-2.11401700
6.13996135,3.98190300,-2.11401700
6.16044135,3.98190300,-2.02368200
6.18092135,3.98190300,-1.93365300
